# samples,smse,msll,nlpd,rmse,mae
50.00000000,0.24403906,-0.28059672,5.30930701,31.79560408,24.28269926
54.00000000,0.23646757,-0.30059596,5.28477394,31.29847668,23.66105428
59.00000000,0.23382942,-0.32646641,5.25719691,31.12339685,23.55893410
64.00000000,0.22982417,-0.35779091,5.22781685,30.85569007,23.31280040
71.00000000,0.22482490,-0.40516507,5.18689725,30.51824907,23.09041357
83.00000000,0.19994392,-0.47432167,5.11181469,28.78004788,21.84731773
87.00000000,0.19825139,-0.49976092,5.08999293,28.65797677,21.72719355
96.00000000,0.19030999,-0.56557112,5.03573238,28.07813182,21.28506131
101.00000000,0.19677288,-0.58780733,5.01285494,28.55091505,21.53350453
111.00000000,0.17951178,-0.67107127,4.95097486,27.26992162,20.63951270
117.00000000,0.18192404,-0.70071160,4.92708247,27.45253488,20.63377900
133.00000000,0.16967854,-0.75495945,4.84295615,26.51251146,19.03636900
137.00000000,0.16903142,-0.76734822,4.82501778,26.46190658,18.91419819
147.00000000,0.16682477,-0.80633206,4.77999421,26.28861351,18.78613539
150.00000000,0.16030197,-0.82642317,4.75936658,25.76955055,18.41077034
160.00000000,0.15032631,-0.87801225,4.71024698,24.95484664,17.69683543
164.00000000,0.14806236,-0.89524771,4.69592674,24.76622100,17.69572363
169.00000000,0.14796139,-0.91167975,4.68414905,24.75777519,17.65446215
171.00000000,0.14773200,-0.91827385,4.67956103,24.73857647,17.62650969
174.00000000,0.14810637,-0.92669858,4.67473837,24.76990171,17.65806407
194.00000000,0.14272912,-0.97055090,4.63302857,24.31608786,17.20472896
196.00000000,0.14202720,-0.97271742,4.62898546,24.25622309,17.11791805
200.00000000,0.14122566,-0.97491436,4.62218074,24.18767983,16.95897452
205.00000000,0.14048662,-0.98101340,4.61281996,24.12430970,16.88187892
211.00000000,0.13921540,-0.99132052,4.59966738,24.01491475,16.66676893
216.00000000,0.13865632,-0.99743530,4.59083521,23.96664473,16.58080380
220.00000000,0.13828396,-1.00190959,4.58456435,23.93444238,16.52918472
240.00000000,0.13739633,-1.03171098,4.55378013,23.85750243,16.32746804
247.00000000,0.13239874,-1.05806741,4.52960078,23.41959274,16.01737093
251.00000000,0.13300159,-1.06357922,4.52594595,23.47284989,16.01640896
257.00000000,0.13338719,-1.07288734,4.51883255,23.50685235,15.98215287
264.00000000,0.12926686,-1.10871779,4.48750780,23.14094061,15.81202797
266.00000000,0.12879978,-1.11867331,4.47902942,23.09909572,15.79407153
270.00000000,0.12634769,-1.14243981,4.45916630,22.87815886,15.67159730
273.00000000,0.12339848,-1.16593744,4.44098592,22.60957059,15.53643418
275.00000000,0.12355402,-1.17429424,4.43550381,22.62381543,15.53142940
277.00000000,0.12083447,-1.19275801,4.42099856,22.37344352,15.37794856
280.00000000,0.12015506,-1.20740251,4.40992071,22.31045621,15.32532972
282.00000000,0.11723399,-1.22289047,4.39623925,22.03759458,15.18752468
288.00000000,0.10749746,-1.26512033,4.35821228,21.10262626,14.74662615
291.00000000,0.10720021,-1.27380204,4.35047691,21.07342964,14.74452665
294.00000000,0.10509824,-1.28374594,4.33792720,20.86580423,14.54259536
