# samples,smse,msll,nlpd,rmse,mae
20.00000000,1.38571468,-0.99828967,5.89140205,57.37191030,42.55290346
20.00000000,1.38571468,-0.99828967,5.89140205,57.37191030,42.55290346
24.00000000,1.38643102,-0.98074585,5.90894587,57.38673762,42.58580885
24.00000000,1.36262337,-0.39929419,5.88981181,56.89188441,42.00178081
24.00000000,1.36262337,-0.39929419,5.88981181,56.89188441,42.00178081
28.00000000,1.35370511,0.02610969,5.89125572,56.70540237,41.75367739
28.00000000,1.35213612,0.03586839,5.90101442,56.67253119,41.68372944
28.00000000,1.35213612,0.03586839,5.90101442,56.67253119,41.68372944
32.00000000,1.35213612,0.03975922,5.90490525,56.67253119,41.68372944
32.00000000,1.34642600,0.03868084,5.91595557,56.55273940,41.30580477
32.00000000,1.34642600,0.03868084,5.91595557,56.55273940,41.30580477
32.00000000,1.34642600,0.03868084,5.91595557,56.55273940,41.30580477
36.00000000,1.34299119,-0.04897104,5.92506211,56.48055870,40.87127519
36.00000000,1.34151710,-0.04343350,5.93059964,56.44955324,40.79529461
36.00000000,1.34151710,-0.04343350,5.93059964,56.44955324,40.79529461
36.00000000,1.34151710,-0.04343350,5.93059964,56.44955324,40.79529461
40.00000000,1.33851230,-0.13379094,5.95035518,56.38629846,40.49748625
40.00000000,1.33776363,-0.13526435,5.94888176,56.37052693,40.45771862
40.00000000,1.33776363,-0.13526435,5.94888176,56.37052693,40.45771862
40.00000000,1.33776363,-0.13526435,5.94888176,56.37052693,40.45771862
45.00000000,1.33185763,-0.26358608,5.97486648,56.24595612,39.96670137
45.00000000,1.33185763,-0.26358608,5.97486648,56.24595612,39.96670137
45.00000000,1.33185763,-0.26358608,5.97486648,56.24595612,39.96670137
49.00000000,1.32852399,-0.36410223,6.00145526,56.17552031,39.56108817
49.00000000,1.32852399,-0.36410223,6.00145526,56.17552031,39.56108817
53.00000000,1.32852399,-0.36410223,6.00145526,56.17552031,39.56108817
53.00000000,1.32935016,-0.45850448,6.03980298,56.19298438,39.37435868
53.00000000,1.32935016,-0.45850448,6.03980298,56.19298438,39.37435868
53.00000000,1.32935016,-0.45850448,6.03980298,56.19298438,39.37435868
58.00000000,1.33127444,-0.60710053,6.06204721,56.23364048,39.27345677
58.00000000,1.32957425,-0.57431351,6.09483422,56.19772046,39.17665206
58.00000000,1.32957425,-0.57431351,6.09483422,56.19772046,39.17665206
58.00000000,1.32957425,-0.57431351,6.09483422,56.19772046,39.17665206
63.00000000,1.31217710,-0.55413832,6.12273954,55.82884332,38.75736975
63.00000000,1.31061429,-0.54452071,6.13235714,55.79558722,38.68332629
67.00000000,1.28748714,-0.39348000,6.14710995,55.30111047,38.14403013
67.00000000,1.28638461,-0.39597512,6.14461484,55.27742699,38.09787699
70.00000000,1.28638461,-0.38825246,6.15233749,55.27742699,38.09787699
70.00000000,1.27721831,-0.35366764,6.16430660,55.08013169,37.84083002
70.00000000,1.27721831,-0.35366764,6.16430660,55.08013169,37.84083002
70.00000000,1.27721831,-0.35366764,6.16430660,55.08013169,37.84083002
70.00000000,1.27721831,-0.35366764,6.16430660,55.08013169,37.84083002
74.00000000,1.22699438,-0.15406572,6.09858564,53.98631565,36.41724039
74.00000000,1.22429330,-0.14577540,6.10687596,53.92686078,36.30867281
74.00000000,1.22429330,-0.14577540,6.10687596,53.92686078,36.30867281
74.00000000,1.22429330,-0.14577540,6.10687596,53.92686078,36.30867281
81.00000000,1.02754212,0.24761571,5.78455359,49.40401217,32.21843581
81.00000000,1.02337153,0.22866277,5.76560065,49.30364953,32.07752928
81.00000000,1.02337153,0.22866277,5.76560065,49.30364953,32.07752928
85.00000000,1.02337153,0.23404216,5.77098004,49.30364953,32.07752928
85.00000000,0.92020419,0.21313705,5.57478794,46.75246414,29.62351015
85.00000000,0.92020419,0.21313705,5.57478794,46.75246414,29.62351015
85.00000000,0.92020419,0.21313705,5.57478794,46.75246414,29.62351015
90.00000000,0.73332651,-0.05792524,5.26211497,41.73602611,26.53294129
90.00000000,0.73332651,-0.05792524,5.26211497,41.73602611,26.53294129
95.00000000,0.73332651,-0.05792524,5.26211497,41.73602611,26.53294129
95.00000000,0.55478661,-0.36388449,4.96181335,36.30156841,23.86538445
95.00000000,0.55478661,-0.36388449,4.96181335,36.30156841,23.86538445
95.00000000,0.55478661,-0.36388449,4.96181335,36.30156841,23.86538445
95.00000000,0.55478661,-0.36388449,4.96181335,36.30156841,23.86538445
99.00000000,0.46332709,-0.55812748,4.80308989,33.17464248,21.92700723
99.00000000,0.46436852,-0.55770168,4.80351569,33.21190502,21.94335261
99.00000000,0.46436852,-0.55770168,4.80351569,33.21190502,21.94335261
104.00000000,0.32547801,-0.80356845,4.57046796,27.80502097,18.32592235
104.00000000,0.32547801,-0.80356845,4.57046796,27.80502097,18.32592235
104.00000000,0.32547801,-0.80356845,4.57046796,27.80502097,18.32592235
108.00000000,0.26329418,-0.90308277,4.46865356,25.00823465,16.37265323
108.00000000,0.26155911,-0.90802053,4.46371580,24.92569811,16.29672003
108.00000000,0.26155911,-0.90802053,4.46371580,24.92569811,16.29672003
114.00000000,0.25934897,-0.91721456,4.45452177,24.82016494,16.20321574
114.00000000,0.18420791,-1.03809449,4.33606299,20.91782550,14.70304423
114.00000000,0.18420791,-1.03809449,4.33606299,20.91782550,14.70304423
114.00000000,0.18420791,-1.03809449,4.33606299,20.91782550,14.70304423
118.00000000,0.14363163,-1.08932619,4.28421995,18.47087429,13.43430819
118.00000000,0.14385887,-1.08872856,4.28481758,18.48548001,13.44569790
123.00000000,0.14385887,-1.08941255,4.28413359,18.48548001,13.44569790
123.00000000,0.13336085,-1.11154989,4.26146412,17.79822024,12.42208219
123.00000000,0.13336085,-1.11154989,4.26146412,17.79822024,12.42208219
127.00000000,0.13336085,-1.11154989,4.26146412,17.79822024,12.42208219
127.00000000,0.13008423,-1.12627827,4.24452394,17.57821307,12.13464597
132.00000000,0.12664992,-1.13996492,4.22797062,17.34462272,12.01036569
132.00000000,0.12605413,-1.14056924,4.22736630,17.30377810,11.99003561
132.00000000,0.12605413,-1.14056924,4.22736630,17.30377810,11.99003561
135.00000000,0.12605413,-1.14117758,4.22675797,17.30377810,11.99003561
135.00000000,0.12452655,-1.14878897,4.21806073,17.19861128,11.93199100
135.00000000,0.12452655,-1.14878897,4.21806073,17.19861128,11.93199100
135.00000000,0.12452655,-1.14878897,4.21806073,17.19861128,11.93199100
135.00000000,0.12452655,-1.14878897,4.21806073,17.19861128,11.93199100
137.00000000,0.12363865,-1.15347256,4.21303353,17.13718683,11.89946048
137.00000000,0.12363865,-1.15347256,4.21303353,17.13718683,11.89946048
137.00000000,0.12363865,-1.15347256,4.21303353,17.13718683,11.89946048
137.00000000,0.12363865,-1.15347256,4.21303353,17.13718683,11.89946048
144.00000000,0.10833922,-1.18598115,4.17594314,16.04187990,11.73263342
144.00000000,0.10699551,-1.19239289,4.16953140,15.94208705,11.65544418
144.00000000,0.10699551,-1.19239289,4.16953140,15.94208705,11.65544418
148.00000000,0.10699551,-1.19239289,4.16953140,15.94208705,11.65544418
148.00000000,0.09427084,-1.23126115,4.12522957,14.96411679,10.73340954
148.00000000,0.09427084,-1.23126115,4.12522957,14.96411679,10.73340954
155.00000000,0.09427084,-1.23126115,4.12522957,14.96411679,10.73340954
155.00000000,0.09050621,-1.27280155,4.08149492,14.66228248,10.27231061
155.00000000,0.09035703,-1.27166030,4.08263617,14.65019388,10.26362359
159.00000000,0.09035703,-1.27166030,4.08263617,14.65019388,10.26362359
159.00000000,0.08967957,-1.29279103,4.06538050,14.59517010,10.22622087
159.00000000,0.08967957,-1.29279103,4.06538050,14.59517010,10.22622087
164.00000000,0.08230638,-1.34437077,4.01440865,13.98231689,9.79166798
164.00000000,0.08169589,-1.33890537,4.01987405,13.93036493,9.67539274
164.00000000,0.08169589,-1.33890537,4.01987405,13.93036493,9.67539274
164.00000000,0.08169589,-1.33890537,4.01987405,13.93036493,9.67539274
167.00000000,0.08093731,-1.35118972,4.00640523,13.86554000,9.64814130
171.00000000,0.08093731,-1.35118972,4.00640523,13.86554000,9.64814130
171.00000000,0.07839698,-1.37360931,3.98182690,13.64621025,9.44724999
171.00000000,0.07835333,-1.37143741,3.98399880,13.64241074,9.42721545
171.00000000,0.07835333,-1.37143741,3.98399880,13.64241074,9.42721545
171.00000000,0.07835333,-1.37143741,3.98399880,13.64241074,9.42721545
171.00000000,0.07835333,-1.37143741,3.98399880,13.64241074,9.42721545
177.00000000,0.07757855,-1.38496639,3.97334040,13.57479340,9.37506903
177.00000000,0.07665856,-1.39835179,3.95995499,13.49406317,9.31543714
182.00000000,0.07663899,-1.40472833,3.95261897,13.49234006,9.34122852
182.00000000,0.07634989,-1.41003550,3.94731180,13.46686802,9.32935112
182.00000000,0.07634989,-1.41003550,3.94731180,13.46686802,9.32935112
182.00000000,0.07634989,-1.41003550,3.94731180,13.46686802,9.32935112
187.00000000,0.07534294,-1.42102594,3.93645965,13.37776907,9.25807140
187.00000000,0.07465267,-1.43270063,3.92478496,13.31634622,9.22288883
187.00000000,0.07464686,-1.43030530,3.92718029,13.31582753,9.21193845
191.00000000,0.07205676,-1.44731012,3.91394519,13.08277226,9.11273137
191.00000000,0.07148174,-1.45080326,3.91045205,13.03046646,9.06357596
191.00000000,0.07148174,-1.45080326,3.91045205,13.03046646,9.06357596
191.00000000,0.07148174,-1.45080326,3.91045205,13.03046646,9.06357596
193.00000000,0.06839988,-1.46907813,3.89668816,12.74647382,8.92738755
193.00000000,0.06839988,-1.46907813,3.89668816,12.74647382,8.92738755
195.00000000,0.06777559,-1.47827939,3.89105597,12.68817221,8.89814565
195.00000000,0.06777559,-1.47827939,3.89105597,12.68817221,8.89814565
197.00000000,0.06713561,-1.48906054,3.88514502,12.62812460,8.86861406
197.00000000,0.06711067,-1.48934735,3.88485821,12.62577901,8.87540441
197.00000000,0.06711067,-1.48934735,3.88485821,12.62577901,8.87540441
